learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.125,4.55960010488828E-9,1000.0,0.9959592080047689,0.9738305551073717,0.994,0.987995630409469,0.0,0.9723865877712031,0.9938961789867503,0.9878296146044625,0.987603305785124,1000.0,141000.0,15.0,0.5565785416597977,0.4434214583402022,779.4000000000001,29.913685353506192,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.203125,7.409350170443455E-9,2000.0,0.999514973684316,0.9751575187210783,0.991,0.9819568407631053,0.9959592080047689,1.0964360587002095,0.9908367164450231,0.994263862332696,0.9811715481171548,2000.0,141000.0,15.0,0.38002619745723754,0.6199738025427625,1546.8000000000002,41.34903695544633,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.265625,9.689150222887594E-9,3000.0,0.9999519844429595,0.9831394012967656,0.996,0.9919962542469876,0.999514973684316,1.0366598778004072,0.9959183503123127,1.0,0.991701244813278,3000.0,141000.0,15.0,0.3072529386340135,0.6927470613659864,2315.1333333333328,54.04081350062649,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.3125,1.13990002622207E-8,4000.0,0.999951956761085,0.9844934269722875,0.998,0.9959963967570814,0.9999519844429595,0.941747572815534,0.9979981965716793,0.9979381443298969,0.9958289885297185,4000.0,141000.0,15.0,0.520440653684614,0.479559346315386,3097.133333333333,51.825072071711496,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.390625,1.5283229812565776E-8,5000.0,0.9999359907826727,0.9565489811973036,0.995,0.9899983197177126,0.999951956761085,1.0242914979757085,0.9949867133749125,0.9960474308300395,0.989665150888797,5000.0,192184.0,15.0,0.5216251533091426,0.4783748466908574,3889.7333333333336,56.25511616944807,6324.8,1559.7796181329134,3.8000000000000007,1.0141851056742197,2.4000000000000004,0.5070925528371099,2.4000000000000004,0.5070925528371099,1.4000000000000004,0.5070925528371099,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.4375,1.80193779265715E-8,6000.0,0.9991659147869674,0.9593408889561131,0.995,0.9899719213798636,0.9999359907826727,0.9047619047619048,0.9948317574162526,0.991578947368421,0.9895869489760499,6000.0,225632.0,15.0,0.3965692274684247,0.6034307725315752,4685.9333333333325,68.86785137043957,8536.533333333331,1625.897460598593,5.133333333333334,1.1872336794093274,3.066666666666667,0.5936168397046637,3.066666666666667,0.5936168397046637,2.066666666666667,0.5936168397046637,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.5,2.2017209428466026E-8,7000.0,0.9991387563641899,0.9705354787581485,0.998,0.995994825314306,0.9991659147869674,0.9267822736030829,0.9980713578962147,1.0,0.9958358120166567,7000.0,247256.0,15.0,0.6097899560805486,0.3902100439194514,5465.999999999999,75.47563466822544,9965.333333333334,1356.805211131053,6.2,1.01418510567422,3.6,0.50709255283711,3.6,0.50709255283711,2.6,0.50709255283711,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.546875,2.5147326394087735E-8,8000.0,0.9997718211077484,0.9752018792562688,0.992,0.9839910349795885,0.9991387563641899,1.0576131687242798,0.9920986138348875,0.9883268482490273,0.9835136527563112,8000.0,258120.0,15.0,0.4150180750925348,0.5849819249074653,6239.8,82.36087836900651,10684.8,2154.9948359235436,6.6,1.5491933384829668,3.8,0.7745966692414834,3.8,0.7745966692414834,2.8,0.7745966692414834,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.59375,2.832711389702227E-8,9000.0,0.9997879923677252,0.975559298390984,0.995,0.99,0.9997718211077484,1.012072434607646,0.9950133877788313,0.9920477137176938,0.9897330595482546,9000.0,262216.0,15.0,0.5546373330007341,0.44536266699926585,7044.733333333334,91.0999973864409,10956.266666666665,2657.006464497396,6.733333333333333,1.8309508328682538,3.8666666666666667,0.9154754164341269,3.8666666666666667,0.9154754164341269,2.8,0.7745966692414834,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.609375,2.9390535524321923E-8,10000.0,0.9999237434730434,0.9811588369593582,0.998,0.9959874326390254,0.9997879923677252,1.1231422505307855,0.998107850717304,0.996219281663516,0.9958796868562011,10000.0,263080.0,15.0,0.4288461924041048,0.5711538075958952,7836.533333333334,102.33688531139734,11013.866666666665,2682.37927079318,6.733333333333333,1.8309508328682538,3.8666666666666667,0.9154754164341269,3.8666666666666667,0.9154754164341269,2.8,0.7745966692414834,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,0.65625,3.261407578570975E-8,11000.0,0.999903968885919,0.9788724150839389,0.997,0.9939982715021927,0.9999237434730434,0.9646365422396856,0.9970165844310517,0.9979633401221996,0.9938375350140056,11000.0,265824.0,15.0,0.5805798074996955,0.41942019250030443,8613.466666666667,92.59425056716658,11195.2,2842.498377936464,6.866666666666666,1.9223002094465098,3.933333333333333,0.9611501047232549,3.933333333333333,0.9611501047232549,2.8666666666666667,0.833809387832792,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,0.75,3.993718160523309E-8,12000.0,0.9999037964332528,0.9636733255084506,0.997,0.9939878313706942,0.999903968885919,0.9120458891013384,0.9970393618744411,0.9979035639412998,0.9938229238160604,12000.0,301944.0,15.0,0.544348574894352,0.45565142510564816,9388.733333333334,76.46704861448187,13582.400000000003,1723.6113582492176,8.600000000000001,1.121223821162776,4.800000000000001,0.560611910581388,4.800000000000001,0.560611910581388,3.6666666666666665,0.4879500364742666,0.0,0.0,0.0,0.0,1.0,0.0
